incoming_id,predicted_duplicate,matched_product_id,score
EVAL-DUP-001,True,B081JP8CC6,0.938767671585083
EVAL-DUP-002,True,B07GWRF23V,0.9165166616439819
EVAL-DUP-003,True,B07S7B3SN2,0.9153745770454407
EVAL-DUP-004,True,8417441271,0.9230774641036987
EVAL-DUP-005,True,B00JOH9FRO,0.9387760162353516
EVAL-DUP-006,True,B01JADTEKE,0.9799718260765076
EVAL-DUP-007,True,B01M0G3WP0,0.9439561367034912
EVAL-NEW-001,False,,0.6780047416687012
EVAL-NEW-002,False,,0.6640177965164185
EVAL-NEW-003,False,,0.684485912322998
EVAL-NEW-004,False,,0.6383860111236572
EVAL-NEW-005,False,,0.6066490411758423
EVAL-NEW-006,False,,0.5457781553268433
EVAL-NEW-007,False,,0.6222889423370361
