evaluation_id,rank,product_id,score
EVAL-100455-context,1,AURUM-NEW-001,0.6854267120361328
EVAL-100455-context,2,B07JHCZ1T4,0.6431173086166382
EVAL-100455-context,3,B09BQTS4FF,0.6389920711517334
EVAL-100455-context,4,B09CYWTYVD,0.6291574835777283
EVAL-100455-context,5,B07MJKBGYC,0.6116830110549927
EVAL-100455-context,6,B07C2TM76Y,0.6102215051651001
EVAL-100455-context,7,B07ZCKTM2R,0.6098626852035522
EVAL-100455-context,8,B01A5VQHBY,0.60337895154953
EVAL-100455-context,9,B075FPNWM2,0.6023232936859131
EVAL-100455-context,10,B07XD4Q3ZV,0.6003466844558716
EVAL-100455-direct,1,AURUM-NEW-001,0.6936695575714111
EVAL-100455-direct,2,B09BQTS4FF,0.6104553937911987
EVAL-100455-direct,3,B07JHCZ1T4,0.603708803653717
EVAL-100455-direct,4,B09CYWTYVD,0.5903454422950745
EVAL-100455-direct,5,B07ZCKTM2R,0.5892137289047241
EVAL-100455-direct,6,B07QY6R25X,0.5887553691864014
EVAL-100455-direct,7,B07C2TM76Y,0.5822802782058716
EVAL-100455-direct,8,B07MJKBGYC,0.5807349681854248
EVAL-100455-direct,9,B01AY8BVQY,0.5767070055007935
EVAL-100455-direct,10,B075FPNWM2,0.57033371925354
EVAL-100455-semantic,1,B01A5VQHBY,0.6420785784721375
EVAL-100455-semantic,2,B07JHCZ1T4,0.6264840364456177
EVAL-100455-semantic,3,B09BQTS4FF,0.6251356601715088
EVAL-100455-semantic,4,B00G7614BK,0.6212432384490967
EVAL-100455-semantic,5,B0071T3MOO,0.6100096702575684
EVAL-100455-semantic,6,B09CYWTYVD,0.6086083650588989
EVAL-100455-semantic,7,AURUM-NEW-001,0.605548620223999
EVAL-100455-semantic,8,B078W684Y2,0.6044558882713318
EVAL-100455-semantic,9,B07GSD93Q8,0.6014187335968018
EVAL-100455-semantic,10,B01N6Y6G16,0.5997694730758667
EVAL-101352-context,1,AURUM-NEW-004,0.794767439365387
EVAL-101352-context,2,B07V1XCNVT,0.6001843214035034
EVAL-101352-context,3,B06ZY98DQ3,0.5935214161872864
EVAL-101352-context,4,B07WV3V2GV,0.5914419889450073
EVAL-101352-context,5,B08T7YZDQ9,0.5871472358703613
EVAL-101352-context,6,B07TYG4M2B,0.5845569372177124
EVAL-101352-context,7,B07CQ84VKG,0.5842710733413696
EVAL-101352-context,8,B08X1JQJXY,0.5825870633125305
EVAL-101352-context,9,B071RZ9H97,0.580424427986145
EVAL-101352-context,10,B07CRRY36Y,0.5734734535217285
EVAL-101352-direct,1,AURUM-NEW-004,0.7175348997116089
EVAL-101352-direct,2,B07WV3V2GV,0.6851509809494019
EVAL-101352-direct,3,B07V1XCNVT,0.6678427457809448
EVAL-101352-direct,4,B07SC6Z95F,0.6647603511810303
EVAL-101352-direct,5,B07CQ84VKG,0.658944308757782
EVAL-101352-direct,6,B07TYG4M2B,0.6416842937469482
EVAL-101352-direct,7,B07CRRY36Y,0.6356874108314514
EVAL-101352-direct,8,B06Y2GRX8V,0.6342290639877319
EVAL-101352-direct,9,B075ZVD13S,0.6310780048370361
EVAL-101352-direct,10,B06ZY98DQ3,0.6287964582443237
EVAL-101352-semantic,1,AURUM-NEW-004,0.7070905566215515
EVAL-101352-semantic,2,B07WV3V2GV,0.6529063582420349
EVAL-101352-semantic,3,B07XMK6Y9K,0.6489138603210449
EVAL-101352-semantic,4,B07V1XCNVT,0.6469635963439941
EVAL-101352-semantic,5,B07SC6Z95F,0.6421142816543579
EVAL-101352-semantic,6,B07YCNBYL2,0.6377407908439636
EVAL-101352-semantic,7,B083T41V3P,0.6365584135055542
EVAL-101352-semantic,8,B07CQ84VKG,0.6331135034561157
EVAL-101352-semantic,9,B083T4N3GJ,0.6302144527435303
EVAL-101352-semantic,10,B07CKWJK2B,0.6297338008880615
EVAL-93437-context,1,AURUM-NEW-002,0.7311086654663086
EVAL-93437-context,2,B07FPF4KHR,0.6394844651222229
EVAL-93437-context,3,B07JGRT3KR,0.635381817817688
EVAL-93437-context,4,B08HGBV9R4,0.6335833668708801
EVAL-93437-context,5,B07BGGY1HK,0.6193195581436157
EVAL-93437-context,6,B01H050GVU,0.6189149618148804
EVAL-93437-context,7,B0813YXVSY,0.6158905029296875
EVAL-93437-context,8,B01K8559QQ,0.6120671033859253
EVAL-93437-context,9,B00DEPDZBO,0.611595630645752
EVAL-93437-context,10,B00XO1XY6O,0.6103383302688599
EVAL-93437-direct,1,AURUM-NEW-002,0.7583150863647461
EVAL-93437-direct,2,B09DVP26N3,0.640640377998352
EVAL-93437-direct,3,B08HGBV9R4,0.6334618330001831
EVAL-93437-direct,4,B08ZMPDXQC,0.6303356289863586
EVAL-93437-direct,5,B08GSD7FZT,0.6188609600067139
EVAL-93437-direct,6,B07QDYWQJM,0.5971550345420837
EVAL-93437-direct,7,B07C3VFRJW,0.5962110161781311
EVAL-93437-direct,8,B07BGGY1HK,0.590190052986145
EVAL-93437-direct,9,B0793GLZWH,0.5877510905265808
EVAL-93437-direct,10,B099W78ZRJ,0.587370753288269
EVAL-93437-semantic,1,AURUM-NEW-002,0.6950969696044922
EVAL-93437-semantic,2,B00TZYI03Q,0.593852162361145
EVAL-93437-semantic,3,B0813YXVSY,0.5933464765548706
EVAL-93437-semantic,4,B00CWZRPWW,0.5913823843002319
EVAL-93437-semantic,5,B01N907PBW,0.5866643786430359
EVAL-93437-semantic,6,B01FD2YT2E,0.5856399536132812
EVAL-93437-semantic,7,B00DEPDZBO,0.5852380394935608
EVAL-93437-semantic,8,B07B481MND,0.5847409963607788
EVAL-93437-semantic,9,B00J2URGEM,0.584621787071228
EVAL-93437-semantic,10,B01K8559QQ,0.5836998820304871
EVAL-96202-context,1,AURUM-NEW-003,0.7201275825500488
EVAL-96202-context,2,B09D9HX6WR,0.7017786502838135
EVAL-96202-context,3,B09D9C9R31,0.6931785941123962
EVAL-96202-context,4,B09D9KBVDN,0.6813921332359314
EVAL-96202-context,5,B0972BCS2L,0.6598351001739502
EVAL-96202-context,6,B07RR79J3Q,0.6484652757644653
